Name	Half-life (h)
Cstb	8.060009109
Cstf1	1.958772142
Cstf2	3.183091478
Cstf2t	2.359548463
Cstf3	3.661928036
Ctc1	3.800245706
Ctcf	3.406987972
Ctdnep1	4.159897567
Ctdsp2	3.778506455
Ctdspl2	2.885636974
Ctdspl2	1.447442797
Ctgf	1.226339745
Ctnna1	5.517533716
Ctnnb1	4.700541127
Ctnnbl1	7.426431012
Ctr9	2.257448687
Ctsa	6.272239895
Ctsb	8.020165987
Ctu1	1.933710413
Ctu2	5.343586268
Cul1	3.55677576
Cul2	5.587423227
Cul4a	2.661506859
Cul7	5.905996322
Cwc15	6.320287573
Cwf19l2	2.147972722
Cxxc1	2.767584506
Cxxc5	2.579927387
Cyb5a	5.861506924
Cyb5b	8.329220075
Cyb5b	3.740626111
Cyb5r1	3.771249189
Cyb5r4	9.990218247
Cyc1	7.663081636
Cyfip1	6.419635182
Cyld	3.712024038
D030056L22Rik	2.131556856
D10Wsu102e	2.183872865
D11Wsu47e	1.839303724
D230025D16Rik	1.632928078
D6Wsu163e	2.19443412
Daam1	2.88640117
Dab2ip	2.558171588
Daxx	2.686892953
Dazap1	3.922708664
Dazap2	2.001651748
Dbr1	1.832656828
Dcaf11	3.556112929
Dcaf13	4.541133974
Dcaf7	5.967178651
Dcaf7	2.634397005
Dcaf8	3.341847171
Dcbld1	1.909673444
Dcbld2	3.721395044
Dck	2.816710157
Dcp2	3.38168727
Dctd	3.00910363
Dctn1	3.956437287
Dctn2	4.84477317
Dctn4	2.101515802
Dctn5	4.957017561
Dcun1d5	4.817549681
Dda1	4.566911639
Dda1	2.684315953
Ddah2	3.514298911
Ddb1	9.568681827
Ddost	8.141466641
Ddx11	3.305440664
Ddx27	3.691075356
Ddx31	1.819742565
Ddx39	9.74021771
Ddx39b	6.915735122
Ddx3x	2.662823072
Ddx42	3.424532572
Ddx46	5.147411824
Ddx47	4.323153517
Ddx51	2.419162095
Ddx52	4.671046126
Ddx52	4.396509845
Ddx54	4.78030913
Ddx59	3.72126145
Ddx6	3.777036454
Dedd	2.360487208
Def6	2.326008705
Def8	4.827822666
Dennd2c	1.767315212
Dennd6a	2.267952012
Denr	5.869417098
Dera	7.770075033
Dgkd	2.607717591
Dhcr24	4.672584911
Dhcr7	4.273475377
Dhfr	5.590235439
Dhps	6.958613555
Dhrs7b	4.242845903
Dhx16	6.599813071
Dhx29	3.67058969
Dhx35	2.73170445
Dhx8	3.962482762
Dimt1	1.98582485
Dkc1	6.257463967
Dlg1	3.651530335
Dlst	6.538787659
Dmwd	1.924019204
Dnaaf5	3.354440825
Dnaja1	4.676081415
Dnaja1	3.79692593
Dnaja3	3.596496805
Dnajb1	4.092876947
Dnajb1	1.500276335
Dnajb11	4.982743517
Dnajb11	4.29409438
Dnajb12	2.786392396
Dnajb6	4.35099673
Dnajb6	2.691079241
Dnajc10	4.671445401
Dnajc11	3.652558654
Dnajc3	1.966256605
Dnajc30	2.869823504
Dnajc5	2.775313816
Dnajc8	6.664529569
Dnajc8	6.120706735
Dnm2	3.528071281
Dnmt3b	5.208018743
Dnmt3l	6.124352622
Dnph1	5.78627993
Dnttip1	3.54821413
Dnttip2	3.472633594
Dohh	4.72927265
Dolpp1	2.693311186
Dot1l	2.604849974
Dot1l	1.715104656
Dpcd	7.56906721
Dpf1	4.32677199
Dph5	2.926479285
Dpm2	4.809476474
Dpm3	7.103140702
Dppa2	4.454742471
Dppa3	8.219550769
Dppa4	4.057749678
Dqx1	2.66092069
Dr1	3.368253051
Drg2	5.838418162
Drosha	5.653153439
Dsg2	3.354766599
Dstn	7.791180523
Dtwd1	2.191833879
Dtx2	3.630455818
Dus3l	2.710918763
Dusp28	5.157891829
Dusp6	1.696931418
Dusp9	6.69861485
Dut	5.888659647
Dvl1	4.257140627
Dvl2	3.267296804
Dvl3	4.875310433
Dxo	3.140398658
Dync1h1	5.07956564
Dync1i2	4.602464097
Dync1li1	4.147526756
Dync1li1	4.398743678
Dynlrb1	10.23815934
Dyrk1a	2.19695155
E2f4	4.389463478
E2f5	3.671193495
E2f6	2.912793754
Eaf1	2.355819559
Ebna1bp2	6.00877091
Ece1	3.68739746
Ece2	2.257791947
Ech1	7.776180936
Echdc2	5.793350551
Edc3	2.895328657
Edc4	4.069478763
Edem3	3.288263275
Edf1	6.09601662
Edrf1	3.731568831
Eef1b2	8.372829793
Eef1g	7.592862745
Eef2	6.757613516
Efcab14	2.765153681
Efl1	4.121534895
Efnb1	1.828265124
Efr3a	3.224590489
Egfl7	7.224324295
Egr1	1.53555376
Ehd1	4.173409535
Ehd1	4.330870165
Ehd3	2.666909792
Ehmt2	5.163621243
Eid1	4.14891603
Eid2	2.560489619
Eif1	3.487139724
Eif1	2.906786375
Eif1a	2.131742931
Eif1a	2.412718473
Eif1ad	4.115977424
Eif1ad	2.99719005
Eif1ax	8.629427573
Eif1b	3.091911704
Eif2a	5.481158348
Eif2b2	3.657986629
Eif2b5	6.069715243
Eif2d	4.646095137
Eif2s1	5.578227716
Eif3b	6.461767454
Eif3f	9.415138644
Eif3j1	4.518155429
Eif3l	6.982829839
Eif4a2	2.736327924
Eif4b	3.724937499
Eif4b	3.692964077
Eif4e	4.709431792
Eif4e	2.43166019
Eif4e	2.91968867
Eif4e2	6.71578034
Eif4e2	1.530829103
Eif4ebp1	4.172156927
Eif4ebp3	3.309389477
Eif4enif1	2.726440318
Eif4g1	5.713452707
Eif5	5.350578559
Eif5	4.429516362
Eif5	2.465052109
Eif5b	4.541421734
Elac2	3.566051111
Ell	1.400670633
Ell2	3.671099479
Elovl5	4.569684035
Elovl6	3.015209062
Elp2	5.264808992
Elp6	1.618143896
Emb	5.260859424
Emc1	3.504714169
Emc2	8.732888279
Emd	5.617826303
Eml2	6.219752585
Eml4	5.329242353
Enc1	1.782216646
Endog	6.323118305
Eng	4.945316392
Eno1	11.79566217
Eno1b	11.79347057
Enoph1	3.991218374
Enox1	2.703106538
Ensa	4.854911473
Eny2	6.463157856
Ep300	2.31084473
Epas1	4.570519676
Epb41l1	3.534858079
Epb41l2	4.162769916
Epb41l4aos	4.271378789
Epc2	1.978049638
Epc2	0.879114013
Epcam	6.554013484
Epha2	1.810573981
Ephb3	1.694961282
Epm2aip1	2.976370481
Epn1	9.242414488
Eprs	3.111907605
Ercc2	2.709005334
Ercc3	4.999058534
Ercc4	2.186509161
Ercc8	4.360406116
Erdr1	2.509036151
Ergic1	4.4390372
Ergic1	5.22455055
Ergic3	5.634778724
Erlin2	4.687610594
Esam	1.918639755
Esd	10.20071984
Espl1	3.802021051
Esrrb	2.784276049
Esyt2	3.770746921
Etfb	9.314615123
Etl4	4.188478038
Etnk1	3.331244967
Ets2	2.192732281
Etv6	2.78721534
Eva1b	1.664911706
Evc2	4.238415562
Exo1	3.623864654
Exoc1	2.110522706
Exoc4	5.127430864
Exoc4	4.547376664
Exosc10	4.130469788
Exosc2	3.490140681
Exosc4	2.945112705
Exosc4	1.128224857
Exosc5	6.66986054
Exosc6	1.733686185
Exosc7	4.591155541
Exosc9	6.589235769
Eya3	5.631376356
Eya3	1.999876441
F11r	4.042346017
F8a	2.911554777
Fabp3	8.267759038
Fads1	4.327232491
Faf1	5.881847034
Faf2	2.401068759
Faim	3.464177723
Fam102a	2.213206484
Fam117a	2.023038542
Fam117b	2.130787604
Fam129a	2.594848278
Fam129b	4.408357346
Fam134a	1.844151911
Fam136a	4.184580636
Fam168a	2.771574317
Fam169a	2.210917667
Fam173b	3.703274476
Fam175b	1.069592163
Fam178a	1.670049427
Fam179b	3.267487123
Fam185a	3.891461601
Fam193a	1.465470944
Fam208a	2.1890107
Fam20c	3.052186284
Fam220a	6.712434529
Fam220a	2.001413654
Fam32a	4.464350687
Fam32a	3.282964032
Fam43a	1.430707278
Fam50a	7.985629684
Fam53c	3.459912099
Fam63a	4.791004023
Fam64a	2.266046309
Fam65a	3.986063647
Fam76b	2.474584722
Fam83d	2.563913645
Fam8a1	2.355400502
Fam91a1	3.048264932
Fam96a	5.256549357
Fam98b	4.296456698
Fancb	1.623149919
Fance	4.391268519
Fanci	4.257520379
